Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2005,00. Total (All Graduates),5,"$42,200"," 3,010 "
Certificate,2006,00. Total (All Graduates),5,"$44,800"," 3,250 "
Certificate,2007,00. Total (All Graduates),5,"$45,200"," 2,900 "
Certificate,2008,00. Total (All Graduates),5,"$45,600"," 2,550 "
Certificate,2009,00. Total (All Graduates),5,"$44,500"," 2,890 "
Certificate,2010,00. Total (All Graduates),5,"$45,400"," 2,750 "
Certificate,2005,"01. Agriculture, agriculture operations and related sciences",5,n/a, n/a 
Certificate,2006,"01. Agriculture, agriculture operations and related sciences",5,"$29,900", 20 
Certificate,2007,"01. Agriculture, agriculture operations and related sciences",5,n/a, n/a 
Certificate,2008,"01. Agriculture, agriculture operations and related sciences",5,"$25,800", 20 
Certificate,2009,"01. Agriculture, agriculture operations and related sciences",5,"$46,900", 20 
Certificate,2010,"01. Agriculture, agriculture operations and related sciences",5,n/a, n/a 
Certificate,2005,03. Natural resources and conservation,5,"$53,800", 40 
Certificate,2006,03. Natural resources and conservation,5,n/a, n/a 
Certificate,2007,03. Natural resources and conservation,5,n/a, n/a 
Certificate,2008,03. Natural resources and conservation,5,n/a, n/a 
Certificate,2009,03. Natural resources and conservation,5,n/a, n/a 
Certificate,2010,03. Natural resources and conservation,5,n/a, n/a 
Certificate,2005,10. Communications technologies/technicians and support services,5,"$41,300", 20 
Certificate,2006,10. Communications technologies/technicians and support services,5,n/a, n/a 
Certificate,2007,10. Communications technologies/technicians and support services,5,n/a, n/a 
Certificate,2008,10. Communications technologies/technicians and support services,5,n/a, n/a 
Certificate,2009,10. Communications technologies/technicians and support services,5,"$27,000", 30 
Certificate,2010,10. Communications technologies/technicians and support services,5,n/a, n/a 
Certificate,2005,11. Computer and information sciences and support services,5,"$57,400", 70 
Certificate,2006,11. Computer and information sciences and support services,5,"$61,700", 60 
Certificate,2007,11. Computer and information sciences and support services,5,"$51,700", 60 
Certificate,2008,11. Computer and information sciences and support services,5,"$59,500", 70 
Certificate,2009,11. Computer and information sciences and support services,5,"$53,400", 50 
Certificate,2010,11. Computer and information sciences and support services,5,"$58,100", 50 
Certificate,2005,12. Personal and culinary services,5,"$29,400", 40 
Certificate,2006,12. Personal and culinary services,5,"$30,100", 40 
Certificate,2007,12. Personal and culinary services,5,"$19,000", 30 
Certificate,2008,12. Personal and culinary services,5,"$26,500", 50 
Certificate,2009,12. Personal and culinary services,5,"$32,200", 30 
Certificate,2010,12. Personal and culinary services,5,"$31,300", 50 
Certificate,2005,13. Education,5,"$26,200", 170 
Certificate,2006,13. Education,5,"$24,600", 150 
Certificate,2007,13. Education,5,"$27,400", 150 
Certificate,2008,13. Education,5,"$28,900", 100 
Certificate,2009,13. Education,5,"$30,600", 110 
Certificate,2010,13. Education,5,"$27,100", 120 
Certificate,2005,15. Engineering technologies and engineering-related fields,5,"$76,800", 100 
Certificate,2006,15. Engineering technologies and engineering-related fields,5,"$80,500", 130 
Certificate,2007,15. Engineering technologies and engineering-related fields,5,"$84,000", 110 
Certificate,2008,15. Engineering technologies and engineering-related fields,5,"$93,800", 110 
Certificate,2009,15. Engineering technologies and engineering-related fields,5,"$70,500", 130 
Certificate,2010,15. Engineering technologies and engineering-related fields,5,"$87,500", 100 
Certificate,2005,19. Family and consumer sciences/human sciences,5,"$21,300", 80 
Certificate,2006,19. Family and consumer sciences/human sciences,5,"$27,000", 70 
Certificate,2007,19. Family and consumer sciences/human sciences,5,"$36,600", 70 
Certificate,2008,19. Family and consumer sciences/human sciences,5,"$29,000", 50 
Certificate,2009,19. Family and consumer sciences/human sciences,5,$200, 90 
Certificate,2010,19. Family and consumer sciences/human sciences,5,"$24,000", 80 
Certificate,2005,"24. Liberal arts and sciences, general studies and humanities",5,"$40,700", 40 
Certificate,2006,"24. Liberal arts and sciences, general studies and humanities",5,"$34,900", 80 
Certificate,2007,"24. Liberal arts and sciences, general studies and humanities",5,n/a, n/a 
Certificate,2008,"24. Liberal arts and sciences, general studies and humanities",5,n/a, n/a 
Certificate,2009,"24. Liberal arts and sciences, general studies and humanities",5,n/a, n/a 
Certificate,2010,"24. Liberal arts and sciences, general studies and humanities",5,n/a, n/a 
Certificate,2005,43. Security and protective services,5,"$73,900", 100 
Certificate,2006,43. Security and protective services,5,"$72,200", 190 
Certificate,2007,43. Security and protective services,5,"$67,100", 130 
Certificate,2008,43. Security and protective services,5,"$74,200", 130 
Certificate,2009,43. Security and protective services,5,"$70,700", 170 
Certificate,2010,43. Security and protective services,5,"$77,100", 120 
Certificate,2005,46. Construction trades,5,"$16,500", 40 
Certificate,2006,46. Construction trades,5,"$37,200", 80 
Certificate,2007,46. Construction trades,5,"$35,800", 60 
Certificate,2008,46. Construction trades,5,"$39,500", 30 
Certificate,2009,46. Construction trades,5,"$44,900", 30 
Certificate,2010,46. Construction trades,5,"$50,400", 110 
Certificate,2005,47. Mechanic and repair technologies/technicians,5,"$54,300", 120 
Certificate,2006,47. Mechanic and repair technologies/technicians,5,"$83,800", 260 
Certificate,2007,47. Mechanic and repair technologies/technicians,5,"$91,600", 240 
Certificate,2008,47. Mechanic and repair technologies/technicians,5,"$96,000", 260 
Certificate,2009,47. Mechanic and repair technologies/technicians,5,"$103,600", 270 
Certificate,2010,47. Mechanic and repair technologies/technicians,5,"$84,300", 290 
Certificate,2005,48. Precision production,5,"$112,900", 170 
Certificate,2006,48. Precision production,5,"$44,700", 30 
Certificate,2007,48. Precision production,5,"$47,900", 50 
Certificate,2008,48. Precision production,5,"$44,400", 30 
Certificate,2009,48. Precision production,5,"$48,700", 40 
Certificate,2010,48. Precision production,5,"$46,100", 60 
Certificate,2005,49. Transportation and materials moving,5,"$61,800", 30 
Certificate,2006,49. Transportation and materials moving,5,"$73,800", 40 
Certificate,2007,49. Transportation and materials moving,5,"$84,300", 50 
