Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2005,00. Total (All Graduates),1,"$35,300"," 3,860 "
Certificate,2006,00. Total (All Graduates),1,"$36,300"," 4,080 "
Certificate,2007,00. Total (All Graduates),1,"$37,800"," 3,620 "
Certificate,2008,00. Total (All Graduates),1,"$37,700"," 3,150 "
Certificate,2009,00. Total (All Graduates),1,"$35,700"," 3,520 "
Certificate,2010,00. Total (All Graduates),1,"$38,000"," 3,260 "
Certificate,2011,00. Total (All Graduates),1,"$39,400"," 3,830 "
Certificate,2012,00. Total (All Graduates),1,"$38,600"," 4,410 "
Certificate,2013,00. Total (All Graduates),1,"$37,600"," 4,390 "
Certificate,2014,00. Total (All Graduates),1,"$36,100"," 3,950 "
Certificate,2005,"01. Agriculture, agriculture operations and related sciences",1,"$23,900", 20 
Certificate,2006,"01. Agriculture, agriculture operations and related sciences",1,"$29,000", 40 
Certificate,2007,"01. Agriculture, agriculture operations and related sciences",1,"$25,000", 30 
Certificate,2008,"01. Agriculture, agriculture operations and related sciences",1,"$33,900", 30 
Certificate,2009,"01. Agriculture, agriculture operations and related sciences",1,"$26,200", 20 
Certificate,2010,"01. Agriculture, agriculture operations and related sciences",1,"$38,800", 20 
Certificate,2011,"01. Agriculture, agriculture operations and related sciences",1,"$26,400", 30 
Certificate,2012,"01. Agriculture, agriculture operations and related sciences",1,"$34,600", 20 
Certificate,2013,"01. Agriculture, agriculture operations and related sciences",1,"$39,300", 40 
Certificate,2014,"01. Agriculture, agriculture operations and related sciences",1,"$39,700", 40 
Certificate,2005,03. Natural resources and conservation,1,"$47,500", 40 
Certificate,2006,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2007,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2008,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2009,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2010,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2011,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2012,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2013,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2014,03. Natural resources and conservation,1,n/a, n/a 
Certificate,2005,10. Communications technologies/technicians and support services,1,"$29,300", 30 
Certificate,2006,10. Communications technologies/technicians and support services,1,"$26,300", 30 
Certificate,2007,10. Communications technologies/technicians and support services,1,"$34,300", 30 
Certificate,2008,10. Communications technologies/technicians and support services,1,"$28,500", 20 
Certificate,2009,10. Communications technologies/technicians and support services,1,"$28,300", 20 
Certificate,2010,10. Communications technologies/technicians and support services,1,"$32,500", 20 
Certificate,2011,10. Communications technologies/technicians and support services,1,n/a, n/a 
Certificate,2012,10. Communications technologies/technicians and support services,1,n/a, n/a 
Certificate,2013,10. Communications technologies/technicians and support services,1,"$25,900", 30 
Certificate,2014,10. Communications technologies/technicians and support services,1,n/a, n/a 
Certificate,2005,11. Computer and information sciences and support services,1,"$44,600", 60 
Certificate,2006,11. Computer and information sciences and support services,1,"$47,400", 80 
Certificate,2007,11. Computer and information sciences and support services,1,"$44,900", 70 
Certificate,2008,11. Computer and information sciences and support services,1,"$44,600", 80 
Certificate,2009,11. Computer and information sciences and support services,1,"$37,000", 70 
Certificate,2010,11. Computer and information sciences and support services,1,"$44,600", 60 
Certificate,2011,11. Computer and information sciences and support services,1,"$53,400", 100 
Certificate,2012,11. Computer and information sciences and support services,1,"$50,400", 80 
Certificate,2013,11. Computer and information sciences and support services,1,"$47,200", 70 
Certificate,2014,11. Computer and information sciences and support services,1,"$44,400", 70 
Certificate,2005,12. Personal and culinary services,1,"$32,700", 60 
Certificate,2006,12. Personal and culinary services,1,"$28,500", 40 
Certificate,2007,12. Personal and culinary services,1,"$24,600", 40 
Certificate,2008,12. Personal and culinary services,1,"$30,600", 60 
Certificate,2009,12. Personal and culinary services,1,"$26,500", 50 
Certificate,2010,12. Personal and culinary services,1,"$24,400", 80 
Certificate,2011,12. Personal and culinary services,1,"$27,500", 90 
Certificate,2012,12. Personal and culinary services,1,"$28,500", 70 
Certificate,2013,12. Personal and culinary services,1,"$27,300", 80 
Certificate,2014,12. Personal and culinary services,1,"$22,900", 80 
Certificate,2005,13. Education,1,"$22,900", 200 
Certificate,2006,13. Education,1,"$23,200", 190 
Certificate,2007,13. Education,1,"$25,600", 190 
Certificate,2008,13. Education,1,"$24,100", 120 
Certificate,2009,13. Education,1,"$24,300", 130 
Certificate,2010,13. Education,1,"$23,600", 150 
Certificate,2011,13. Education,1,"$24,600", 140 
Certificate,2012,13. Education,1,"$26,100", 150 
Certificate,2013,13. Education,1,"$25,900", 150 
Certificate,2014,13. Education,1,"$23,600", 150 
Certificate,2005,15. Engineering technologies and engineering-related fields,1,"$66,500", 120 
Certificate,2006,15. Engineering technologies and engineering-related fields,1,"$64,000", 150 
Certificate,2007,15. Engineering technologies and engineering-related fields,1,"$58,400", 140 
Certificate,2008,15. Engineering technologies and engineering-related fields,1,"$65,700", 140 
Certificate,2009,15. Engineering technologies and engineering-related fields,1,"$47,800", 140 
Certificate,2010,15. Engineering technologies and engineering-related fields,1,"$65,700", 100 
Certificate,2011,15. Engineering technologies and engineering-related fields,1,"$62,000", 120 
Certificate,2012,15. Engineering technologies and engineering-related fields,1,"$59,900", 150 
Certificate,2013,15. Engineering technologies and engineering-related fields,1,"$60,300", 200 
Certificate,2014,15. Engineering technologies and engineering-related fields,1,"$56,900", 170 
Certificate,2005,19. Family and consumer sciences/human sciences,1,"$19,300", 100 
Certificate,2006,19. Family and consumer sciences/human sciences,1,"$28,100", 100 
Certificate,2007,19. Family and consumer sciences/human sciences,1,"$36,900", 100 
Certificate,2008,19. Family and consumer sciences/human sciences,1,"$26,500", 60 
