Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2005,00. Total (All Graduates),2,"$38,100"," 3,510 "
Certificate,2006,00. Total (All Graduates),2,"$40,000"," 3,810 "
Certificate,2007,00. Total (All Graduates),2,"$40,000"," 3,390 "
Certificate,2008,00. Total (All Graduates),2,"$40,100"," 2,960 "
Certificate,2009,00. Total (All Graduates),2,"$38,600"," 3,280 "
Certificate,2010,00. Total (All Graduates),2,"$41,600"," 3,060 "
Certificate,2011,00. Total (All Graduates),2,"$42,400"," 3,660 "
Certificate,2012,00. Total (All Graduates),2,"$40,800"," 4,490 "
Certificate,2013,00. Total (All Graduates),2,"$38,800"," 3,950 "
Certificate,2005,"01. Agriculture, agriculture operations and related sciences",2,"$27,700", 20 
Certificate,2006,"01. Agriculture, agriculture operations and related sciences",2,"$34,600", 30 
Certificate,2007,"01. Agriculture, agriculture operations and related sciences",2,"$28,100", 20 
Certificate,2008,"01. Agriculture, agriculture operations and related sciences",2,"$41,900", 20 
Certificate,2009,"01. Agriculture, agriculture operations and related sciences",2,n/a, n/a 
Certificate,2010,"01. Agriculture, agriculture operations and related sciences",2,n/a, n/a 
Certificate,2011,"01. Agriculture, agriculture operations and related sciences",2,"$31,000", 30 
Certificate,2012,"01. Agriculture, agriculture operations and related sciences",2,"$38,100", 30 
Certificate,2013,"01. Agriculture, agriculture operations and related sciences",2,"$31,100", 30 
Certificate,2005,03. Natural resources and conservation,2,"$42,500", 50 
Certificate,2006,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2007,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2008,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2009,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2010,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2011,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2012,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2013,03. Natural resources and conservation,2,n/a, n/a 
Certificate,2005,10. Communications technologies/technicians and support services,2,"$34,500", 20 
Certificate,2006,10. Communications technologies/technicians and support services,2,"$34,700", 20 
Certificate,2007,10. Communications technologies/technicians and support services,2,"$34,700", 30 
Certificate,2008,10. Communications technologies/technicians and support services,2,"$25,900", 20 
Certificate,2009,10. Communications technologies/technicians and support services,2,"$24,500", 20 
Certificate,2010,10. Communications technologies/technicians and support services,2,n/a, n/a 
Certificate,2011,10. Communications technologies/technicians and support services,2,n/a, n/a 
Certificate,2012,10. Communications technologies/technicians and support services,2,n/a, n/a 
Certificate,2013,10. Communications technologies/technicians and support services,2,"$32,100", 20 
Certificate,2005,11. Computer and information sciences and support services,2,"$44,400", 70 
Certificate,2006,11. Computer and information sciences and support services,2,"$51,600", 70 
Certificate,2007,11. Computer and information sciences and support services,2,"$44,100", 60 
Certificate,2008,11. Computer and information sciences and support services,2,"$52,800", 80 
Certificate,2009,11. Computer and information sciences and support services,2,"$44,500", 60 
Certificate,2010,11. Computer and information sciences and support services,2,"$51,500", 50 
Certificate,2011,11. Computer and information sciences and support services,2,"$58,000", 100 
Certificate,2012,11. Computer and information sciences and support services,2,"$53,300", 100 
Certificate,2013,11. Computer and information sciences and support services,2,"$50,600", 80 
Certificate,2005,12. Personal and culinary services,2,"$30,200", 50 
Certificate,2006,12. Personal and culinary services,2,"$35,000", 40 
Certificate,2007,12. Personal and culinary services,2,"$19,600", 40 
Certificate,2008,12. Personal and culinary services,2,"$30,500", 60 
Certificate,2009,12. Personal and culinary services,2,"$23,800", 50 
Certificate,2010,12. Personal and culinary services,2,"$28,400", 70 
Certificate,2011,12. Personal and culinary services,2,"$30,900", 90 
Certificate,2012,12. Personal and culinary services,2,"$30,500", 70 
Certificate,2013,12. Personal and culinary services,2,"$27,100", 80 
Certificate,2005,13. Education,2,"$24,800", 200 
Certificate,2006,13. Education,2,"$24,100", 170 
Certificate,2007,13. Education,2,"$27,300", 180 
Certificate,2008,13. Education,2,"$24,600", 120 
Certificate,2009,13. Education,2,"$27,500", 120 
Certificate,2010,13. Education,2,"$23,900", 140 
Certificate,2011,13. Education,2,"$25,200", 140 
Certificate,2012,13. Education,2,"$27,200", 140 
Certificate,2013,13. Education,2,"$25,800", 140 
Certificate,2005,15. Engineering technologies and engineering-related fields,2,"$69,200", 120 
Certificate,2006,15. Engineering technologies and engineering-related fields,2,"$75,200", 140 
Certificate,2007,15. Engineering technologies and engineering-related fields,2,"$60,700", 110 
Certificate,2008,15. Engineering technologies and engineering-related fields,2,"$69,400", 140 
Certificate,2009,15. Engineering technologies and engineering-related fields,2,"$56,700", 150 
Certificate,2010,15. Engineering technologies and engineering-related fields,2,"$74,900", 110 
Certificate,2011,15. Engineering technologies and engineering-related fields,2,"$70,800", 120 
Certificate,2012,15. Engineering technologies and engineering-related fields,2,"$64,300", 160 
Certificate,2013,15. Engineering technologies and engineering-related fields,2,"$59,800", 180 
Certificate,2005,19. Family and consumer sciences/human sciences,2,"$21,200", 100 
Certificate,2006,19. Family and consumer sciences/human sciences,2,"$28,300", 100 
Certificate,2007,19. Family and consumer sciences/human sciences,2,"$35,500", 80 
Certificate,2008,19. Family and consumer sciences/human sciences,2,"$25,900", 60 
Certificate,2009,19. Family and consumer sciences/human sciences,2,"$6,500", 100 
Certificate,2010,19. Family and consumer sciences/human sciences,2,"$26,800", 100 
Certificate,2011,19. Family and consumer sciences/human sciences,2,"$21,800", 150 
Certificate,2012,19. Family and consumer sciences/human sciences,2,"$21,000", 150 
Certificate,2013,19. Family and consumer sciences/human sciences,2,"$25,800", 110 
Certificate,2005,"24. Liberal arts and sciences, general studies and humanities",2,"$23,400", 50 
Certificate,2006,"24. Liberal arts and sciences, general studies and humanities",2,"$33,800", 120 
Certificate,2007,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2008,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2009,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2010,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2011,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2012,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2013,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Certificate,2005,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2006,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2007,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2008,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2009,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2010,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2011,"31. Parks, recreation, leisure and fitness studies",2,"$35,300", 20 
Certificate,2012,"31. Parks, recreation, leisure and fitness studies",2,"$49,000", 40 
Certificate,2013,"31. Parks, recreation, leisure and fitness studies",2,n/a, n/a 
Certificate,2005,43. Security and protective services,2,"$54,000", 110 
Certificate,2006,43. Security and protective services,2,"$52,100", 220 
Certificate,2007,43. Security and protective services,2,"$47,800", 160 
Certificate,2008,43. Security and protective services,2,"$47,900", 160 
Certificate,2009,43. Security and protective services,2,"$49,900", 180 
Certificate,2010,43. Security and protective services,2,"$57,100", 140 
Certificate,2011,43. Security and protective services,2,"$55,800", 170 
Certificate,2012,43. Security and protective services,2,"$55,600", 140 
Certificate,2013,43. Security and protective services,2,"$54,400", 40 
Certificate,2005,46. Construction trades,2,"$13,300", 40 
Certificate,2006,46. Construction trades,2,"$28,100", 80 
Certificate,2007,46. Construction trades,2,"$36,200", 40 
Certificate,2008,46. Construction trades,2,"$33,900", 20 
Certificate,2009,46. Construction trades,2,"$26,400", 30 
Certificate,2010,46. Construction trades,2,"$34,000", 70 
Certificate,2011,46. Construction trades,2,"$41,700", 60 
Certificate,2012,46. Construction trades,2,"$44,200", 100 
Certificate,2013,46. Construction trades,2,"$37,500", 110 
Certificate,2005,47. Mechanic and repair technologies/technicians,2,"$45,600", 140 
Certificate,2006,47. Mechanic and repair technologies/technicians,2,"$73,300", 300 
Certificate,2007,47. Mechanic and repair technologies/technicians,2,"$72,700", 270 
